mhd-term-id,mhd-term,mtbls-st4c,mtbls-term-id,mtbls-term,mw,instance-of
MS_1003535,6545XT Q-TOF LC/MS,Agilent 6545XT Q-TOF,,,Agilent 6545XT QTOF,Mass spectrometry instrument
MS_1003536,6546 Q-TOF LC/MS,Agilent 6546 Q-TOF; Agilent 6546 LC/Q-TOF,MTBLS_002300,Agilent 6546 LC/Q-TOF,Agilent 6546 QTOF,Mass spectrometry instrument
MS_1003537,6600 Q-TOF LC/MS,Agilent 6600 Q-TOF,,,Agilent 6600 QTOF,Mass spectrometry instrument
MS_1003538,7000C Triple Quadrupole GC/MS,Agilent 7000C Triple Quadrupole,MTBLS_001011,Agilent 7000C Triple Quadrupole,,Mass spectrometry instrument
MS_1003539,7000D Triple Quadrupole GC/MS,Agilent 7000D Triple Quadrupole,MTBLS_002097,Agilent 7000D Triple Quadrupole,,Mass spectrometry instrument
MS_1003540,7010 Triple Quadrupole GC/MS,Agilent 7010 Triple Quadrupole,MTBLS_000998,Agilent 7010 Triple Quadrupole,Agilent 7010,Mass spectrometry instrument
MS_1003541,7010B Triple Quadrupole GC/MS,Agilent 7010B Triple Quadrupole,,,Agilent 7010B,Mass spectrometry instrument
MS_1003542,7200 Q-TOF GC/MS,Agilent 7200 Q-TOF,MTBLS_001007,Agilent 7200 Q-TOF,Agilent 7200 QTOF,Mass spectrometry instrument
MS_1003543,7250 Q-TOF GC/MS,Agilent 7250 GC/Q-TOF,MTBLS_002098,Agilent 7250 GC/Q-TOF,Agilent 7250,Mass spectrometry instrument
MS_1003544,CE-TOFMS,Agilent CE-TOFMS,,,Agilent CE-TOFMS,Mass spectrometry instrument
MS_1003545,G3250AA Time-of-Flight LC/MS,Agilent G3250AA TOF,,,Agilent G3250AA TOF,Mass spectrometry instrument
MS_1003546,Revident Q-TOF LC/MS,Agilent Revident Q-TOF,,,Agilent Revident Q-TOF,Mass spectrometry instrument
MS_1003547,Pegasus BT 4D,LECO Pegasus BT 4D GCxGC-TOFMS,MTBLS_002302,LECO Pegasus BT 4D GCxGC-TOFMS,,Mass spectrometry instrument
MS_1003548,Pegasus HT,LECO Pegasus HT TOFMS,MTBLS_001019,LECO Pegasus HT TOFMS,Leco Pegasus HT TOF,Mass spectrometry instrument
MS_1003549,Pegasus IV,LECO Pegasus IV,MTBLS_001028,LECO Pegasus IV,Leco Pegasus IV TOF,Mass spectrometry instrument
MS_1003550,PTR-TOF 8000,IONICON PTR-TOF 8000,,,,Mass spectrometry instrument
MS_1003551,AccuTOF GCv,JEOL AccuTOF GCv,MTBLS_001017,JEOL AccuTOF GCv,,Mass spectrometry instrument
MS_1003552,TOF.SIMS 5,ION-TOF TOF.SIMS 5,,,,Mass spectrometry instrument
MS_1003553,TurboMass GC/MS,PerkinElmer TurboMass,MTBLS_001015,PerkinElmer TurboMass,,Mass spectrometry instrument
MS_1003554,ThermoQuest Voyager,ThermoQuest Voyager,MTBLS_001006,ThermoQuest Voyager,,Mass spectrometry instrument
MS_1003555,AXIMA-LNR,,,,,Mass spectrometry instrument
MS_1003556,AXIMA-TOFÂ²,,,,,Mass spectrometry instrument
MS_1003557,AXIMA Resonance,,,,,Mass spectrometry instrument
MS_1003558,MALDI-8020,,,,,Mass spectrometry instrument
MS_1003559,MALDI-8030,,,,,Mass spectrometry instrument
MS_1003560,MALDI-8020 EasyCare,,,,,Mass spectrometry instrument
MS_1003561,MALDI-8030 EasyCare,,,,,Mass spectrometry instrument
MS_1003562,LCMS-2010,,,,,Mass spectrometry instrument
MS_1003563,LCMS-2050,,,,,Mass spectrometry instrument
MS_1003564,LCMS-8045RX,,,,,Mass spectrometry instrument
MS_1003565,LCMS-8050RX,,,,,Mass spectrometry instrument
MS_1003566,LCMS-8060RX,,,,,Mass spectrometry instrument
MS_1003567,LCMS-8065XE,,,,,Mass spectrometry instrument
MS_1003568,LCMS-9050,,,,,Mass spectrometry instrument
MS_1003569,GCMS-QP5050A,,,,,Mass spectrometry instrument
MS_1003570,GCMS-QP2010S,,,,,Mass spectrometry instrument
MS_1003571,GCMS-QP2010,,,,,Mass spectrometry instrument
MS_1003572,GCMS-QP2020NX,,,,,Mass spectrometry instrument
MS_1003573,GCMS-QP2050,,,,,Mass spectrometry instrument
MS_1003574,GCMS-TQ 8030,,,,,Mass spectrometry instrument
MS_1003575,GCMS-TQ 8050,,,,,Mass spectrometry instrument
MS_1003800,TSQ Certis,,,,,Mass spectrometry instrument
MS_1001761,ACQUITY UPLC,Waters ACQUITY UPLC system; Waters ACQUITY UPLC system and PDA detector,MTBLS_000877; MTBLS_000870,Waters ACQUITY UPLC system; Waters ACQUITY UPLC system and PDA detector,Waters Acquity,Liquid chromatography instrument
MS_1001762,ACQUITY UPLC H-Class,Waters ACQUITY UPLC H-Class System,MTBLS_000876,Waters ACQUITY UPLC H-Class System,Waters Acquity H-Class,Liquid chromatography instrument
MS_1001763,ACQUITY UPLC H-Class Bio,,,,,Liquid chromatography instrument
MS_1001764,ACQUITY UPLC I-Class,Waters ACQUITY UPLC I-Class System,MTBLS_000917,Waters ACQUITY UPLC I-Class System,Waters Acquity I-Class,Liquid chromatography instrument
MS_1001765,ACQUITY UPLC Systems with 2D Technology,,,,,Liquid chromatography instrument
MS_1001766,nanoACQUITY UPLC,Waters nanoACQUITY UPLC system,MTBLS_000890,Waters nanoACQUITY UPLC system,Waters NanoAcquity,Liquid chromatography instrument
MS_1001767,nanoACQUITY UPLC System with 1D Technology,,,,,Liquid chromatography instrument
MS_1001768,nanoACQUITY UPLC with HDX Technology,,,,,Liquid chromatography instrument
MS_1001769,TRIZAIC UPLC nanoTile,,,,,Liquid chromatography instrument
MS_1003616,AVANT,Advion AVANT,,,,Liquid chromatography instrument
MS_1003618,1100 Series,"Agilent 1100 Series LC; Agilent 1100 Series Isocratic Pump, G1603A CE-MS Adapter Kit, and G1607A CE-ESI-MS Sprayer Kit; Agilent 1100 Series HPLC System",MTBLS_000893; MTBLS_000868,Agilent 1100 Series LC; Agilent 1100 Series HPLC System,Agilent 1100,Liquid chromatography instrument
MS_1003619,1200 Series,Agilent 1200 Series HPLC System,MTBLS_000891,Agilent 1200 Series HPLC System,Agilent 1200,Liquid chromatography instrument
MS_1003620,1200 Series HPLC-Chip,Agilent 1200 Series HPLC-Chip,MTBLS_002085,Agilent 1200 Series HPLC-Chip,,Liquid chromatography instrument
MS_1003621,1200 Series Rapid Resolution,Agilent 1200 Series Rapid Resolution LC System,MTBLS_000857,Agilent 1200 Series Rapid Resolution LC System,,Liquid chromatography instrument
MS_1003622,1200 RR Series II,,,,Agilent 1200 RR Series II,Liquid chromatography instrument
MS_1003624,1220 Infinity,Agilent 1220 Infinity LC,MTBLS_000911,Agilent 1220 Infinity LC,,Liquid chromatography instrument
MS_1003625,1260 Infinity II,Agilent 1260 Infinity II LC System,MTBLS_000904,Agilent 1260 Infinity II LC System,,Liquid chromatography instrument
MS_1003626,1260 Infinity,Agilent 1260 Infinity HPLC; Agilent 1260 Infinity LC,MTBLS_000866; MTBLS_000880,Agilent 1260 Infinity HPLC; Agilent 1260 Infinity LC,Agilent 1260,Liquid chromatography instrument
MS_1003627,1290 Infinity 2D-LC,Agilent 1290 Infinity 2D-LC,MTBLS_002086,Agilent 1290 Infinity 2D-LC,,Liquid chromatography instrument
MS_1003628,1290 Infinity,Agilent 1290 Infinity HPLC; Agilent 1290 Infinity LC; Agilent 1290 Infinity UHPLC,MTBLS_000878; MTBLS_000889; MTBLS_000871,Agilent 1290 Infinity HPLC; Agilent 1290 Infinity LC; Agilent 1290 Infinity UHPLC,"Agilent 1290, Agilent 1290 Infinity",Liquid chromatography instrument
MS_1003629,1290 Infinity II 2D-LC,Agilent 1290 Infinity II 2D-LC,MTBLS_002089,Agilent 1290 Infinity II 2D-LC,,Liquid chromatography instrument
MS_1003630,1290 Infinity II,Agilent 1290 Infinity II UHPLC; Aglient 1290 Infinity II LC,MTBLS_000864; MTBLS_000894,Agilent 1290 Infinity II UHPLC; Aglient 1290 Infinity II LC,Agilent 1290 Infinity II,Liquid chromatography instrument
MS_1003631,1200 Infinity,Agilent 1200 Infinity,,,,Liquid chromatography instrument
MS_1003632,1220 Infinity II,Agilent 1220 Infinity II,,,,Liquid chromatography instrument
MS_1003633,1260 Infinity III,Agilent 1260 Infinity III,,,,Liquid chromatography instrument
MS_1003634,1260 Infinity III Prime,Agilent 1260 Infinity III Prime,,,,Liquid chromatography instrument
MS_1003640,System Gold,Beckman Coulter System Gold HPLC 127 pump,MTBLS_000886,Beckman Coulter System Gold HPLC 127 pump,,Liquid chromatography instrument
MS_1003642,Elute,Bruker Elute LC system; Bruker Elute UHPLC system,MTBLS_002111; MTBLS_002112,Bruker Elute LC system; Bruker Elute UHPLC system,,Liquid chromatography instrument
MS_1003643,Elute HT,Bruker Elute HT,,,,Liquid chromatography instrument
MS_1003644,Elute OLE,Bruker Elute OLE,,,,Liquid chromatography instrument
MS_1003645,Elute SP,Bruker Elute SP,,,,Liquid chromatography instrument
MS_1003646,nanoElute 2,,,,,Liquid chromatography instrument
MS_1003647,proteoElute,,,,,Liquid chromatography instrument
MS_1003648,Michrom BioResources Paradigm MS4,Michrom BioResources Paradigm MS4 HPLC system,MTBLS_000882,Michrom BioResources Paradigm MS4 HPLC system,,Liquid chromatography instrument
MS_1003649,Michrom Advance nanoflow,,,,,Liquid chromatography instrument
MS_1003651,ExionLC,SCIEX ExionLC,,,,Liquid chromatography instrument
MS_1003652,ExionLC AC,SCIEX ExionLC AC,MTBLS_000897,SCIEX ExionLC AC,,Liquid chromatography instrument
MS_1003653,ExionLC AD,SCIEX ExionLC AD,MTBLS_002206,SCIEX ExionLC AD,,Liquid chromatography instrument
MS_1003654,ExionLC AE,,,,,Liquid chromatography instrument
MS_1003655,ExionLC 2.0,,,,,Liquid chromatography instrument
MS_1003656,ExionLC 2.0+,,,,,Liquid chromatography instrument
MS_1003657,Eksigent ekspert nanoLC 400,Eksigent ekspert nanoLC 400,MTBLS_000905,Eksigent ekspert nanoLC 400,,Liquid chromatography instrument
MS_1003658,Eksigent ekspert nanoLC 425,Eksigent ekspert nanoLC 425,MTBLS_002146,Eksigent ekspert nanoLC 425,,Liquid chromatography instrument
MS_1003659,Eksigent ekspret ultraLC 100,,,,,Liquid chromatography instrument
MS_1003660,Eksigent ekspert ultraLC 100-XL,,,,,Liquid chromatography instrument
MS_1003661,Eksigent ekspert ultraLC 110,Eksigent ekspert ultraLC 110,MTBLS_000872,Eksigent ekspert ultraLC 110,,Liquid chromatography instrument
MS_1003662,Eksigent NanoLC-Ultra 2D,Eksigent NanoLC-Ultra 2D system,MTBLS_000881,Eksigent NanoLC-Ultra 2D system,,Liquid chromatography instrument
MS_1003664,L-7100,Hitachi L-7100 HPLC pump,MTBLS_000916,Hitachi L-7100 HPLC pump,,Liquid chromatography instrument
MS_1003665,LaChrom Ultra,Hitachi LaChrome Ultra,MTBLS_000902,Hitachi LaChrome Ultra,,Liquid chromatography instrument
MS_1003666,Chromaster,,,,,Liquid chromatography instrument
MS_1003667,Chromaster RS,,,,,Liquid chromatography instrument
MS_1003669,X-LC Series,JASCO X-LC 3085PU HPLC pump,MTBLS_000909,JASCO X-LC 3085PU HPLC pump,,Liquid chromatography instrument
MS_1003670,LC-4000 Series,,,,,Liquid chromatography instrument
MS_1003671,LC-2000 Series,,,,,Liquid chromatography instrument
MS_1003673,LC-10,Shimadzu LC-10AD pump and SCL-10A controller,MTBLS_000913,Shimadzu LC-10AD pump and SCL-10A controller,Shimadzu 10A,Liquid chromatography instrument
MS_1003674,Nexera LC-20,Shimadzu Nexera LC-20,,,Shimadzu 20AD,Liquid chromatography instrument
MS_1003675,Nexera LC-30,Shimadzu LC-30AD pump and CBM-20A controller; Shimadzu LC-30A Nexera UHPLC system; Shimadzu Nexera UHPLC system (CBM-30A controller); Shimadzu Nexera UHPLC system (LC-30AD pump and CBM-20A controller); Shimadzu Nexera UHPLC system (LC-30AD pump and SPD-M20A detector); Shimadzu Nexera UHPLC system,MTBLS_000867; MTBLS_000862; MTBLS_002218; MTBLS_000898; MTBLS_002219; MTBLS_000887,Shimadzu LC-30AD pump and CBM-20A controller; Shimadzu LC-30A Nexera UHPLC system; Shimadzu Nexera UHPLC system (CBM-30A controller); Shimadzu Nexera UHPLC system (LC-30AD pump and CBM-20A controller); Shimadzu Nexera UHPLC system (LC-30AD pump and SPD-M20A detector); Shimadzu Nexera UHPLC system,,Liquid chromatography instrument
MS_1003676,Nexera X2 LC-30,"Shimadzu Nexera X2 UHPLC system (binary pump, DGU-20A degasser, and CBM-20A controller)",MTBLS_000895,"Shimadzu Nexera X2 UHPLC system (binary pump, DGU-20A degasser, and CBM-20A controller)",Shimadzu Nexera X2,Liquid chromatography instrument
MS_1003677,Nexera LC-40,Shimadzu Nexera LC-40 UHPLC system,,,,Liquid chromatography instrument
MS_1003678,Prominence LC-20,Shimadzu Prominence LC-20AD system; Shimadzu Prominence HPLC system; Shimadzu SIL20-A LC system,MTBLS_000910; MTBLS_000901; MTBLS_000912,Shimadzu Prominence LC-20AD system; Shimadzu Prominence HPLC system; Shimadzu SIL20-A LC system,,Liquid chromatography instrument
MS_1003679,Prominence UFLC,Shimadzu Prominence UFLC system,MTBLS_000859,Shimadzu Prominence UFLC system,,Liquid chromatography instrument
MS_1003680,Prominence UFLC XR,Shimadzu Prominence UFLCXR system,MTBLS_000874,Shimadzu Prominence UFLCXR system,,Liquid chromatography instrument
MS_1003681,LC-2040C 3D Nexera-i,Shimadzu LC-2040C 3D Nexera-i,MTBLS_002212,Shimadzu LC-2040C 3D Nexera-i,,Liquid chromatography instrument
MS_1003682,Prominence Plus LC-30,Shimadzu Prominence Plus LC-30A UHPLC,,,,Liquid chromatography instrument
MS_1003684,Accela,Thermo Scientific Accela UHPLC System; Thermo Scientific Accela 1250 Pump; Thermo Scientific Accela 600 Pump,MTBLS_000861; MTBLS_000906; MTBLS_000900,Thermo Scientific Accela UHPLC System; Thermo Scientific Accela 1250 Pump; Thermo Scientific Accela 600 Pump,Thermo Accela 1250; Thermo Accela 600; Thermo Accela CTC,Liquid chromatography instrument
MS_1003685,Accela II,Thermo Scientific Accela II HPLC system,MTBLS_000873,Thermo Scientific Accela II HPLC system,,Liquid chromatography instrument
MS_1003686,Dionex Integrion HPIC,Thermo Scientific Dionex Integrion HPIC System,MTBLS_002237,Thermo Scientific Dionex Integrion HPIC System,,Liquid chromatography instrument
MS_1003687,Dionex Integrion RFIC,Thermo Scientific Dionex Integrion RFIC System,MTBLS_002238,Thermo Scientific Dionex Integrion RFIC System,,Liquid chromatography instrument
MS_1003691,Dionex UltiMate 3000 XRS,Thermo Scientific Dionex UltiMate 3000 XRS System,MTBLS_000884,Thermo Scientific Dionex UltiMate 3000 XRS System,,Liquid chromatography instrument
MS_1003692,EASY-nLC 1000,Thermo Scientific EASY-nLC 1000 System (UPLC),MTBLS_000879,Thermo Scientific EASY-nLC 1000 System (UPLC),,Liquid chromatography instrument
MS_1003693,EASY-nLC 1200,Thermo Scientific EASY-nLC 1200 System (UPLC),MTBLS_000908,Thermo Scientific EASY-nLC 1200 System (UPLC),,Liquid chromatography instrument
MS_1003694,Surveyor,Thermo Scientific Surveyor HPLC system; Thermo Scientific Surveyor MS Pump Plus,MTBLS_000863; MTBLS_000892,Thermo Scientific Surveyor HPLC system; Thermo Scientific Surveyor MS Pump Plus,,Liquid chromatography instrument
MS_1003698,Vanquish,Thermo Scientific Vanquish UHPLC System,MTBLS_000858,Thermo Scientific Vanquish UHPLC System,Thermo Vanquish,Liquid chromatography instrument
MS_1003699,Dionex ICS-5000+,,,,Thermo Dionex ICS-5000+,Liquid chromatography instrument
MS_1003700,Proxeon EASY-nLC II,Proxeon EASY-nLC II,,,,Liquid chromatography instrument
MS_1003701,Cohesive Technologies TX2,,,,Cohesive TX2,Liquid chromatography instrument
MS_1003702,Rheos Allegro,Flux Rheos Allegro UHPLC pump,MTBLS_000869,Flux Rheos Allegro UHPLC pump,,Liquid chromatography instrument
MS_1003703,Rheos 2000 Micro,,,,,Liquid chromatography instrument
MS_1003704,Rheos 2200 Micro,,,,,Liquid chromatography instrument
MS_1003705,1525 Micro,Waters 1525 Micro Binary HPLC Pump,MTBLS_000865,Waters 1525 Micro Binary HPLC Pump,,Liquid chromatography instrument
MS_1003706,ACQUITY Premier,Waters ACQUITY Premier System,,,,Liquid chromatography instrument
MS_1003707,ACQUITY UPLC H-Class PLUS,Waters ACQUITY UPLC H-Class PLUS System,,,,Liquid chromatography instrument
MS_1003708,ACQUITY UPLC I-Class PLUS,Waters ACQUITY UPLC I-Class PLUS System,MTBLS_002261,Waters ACQUITY UPLC I-Class PLUS System,,Liquid chromatography instrument
MS_1003709,ACQUITY UPLC M-Class,Waters ACQUITY UPLC M-Class System,MTBLS_000903,Waters ACQUITY UPLC M-Class System,,Liquid chromatography instrument
MS_1003710,Alliance 2695 Separations Module,Waters Alliance 2695 Separations Module (modified),MTBLS_000915,Waters Alliance 2695 Separations Module (modified),,Liquid chromatography instrument
MS_1003623,1200 SL,,,,Agilent 1200SL,Liquid chromatography instrument
MS_1003688,Dionex UltiMate 3000 RSLC,Thermo Scientific Dionex UltiMate 3000 RSLC System,MTBLS_000907,Thermo Scientific Dionex UltiMate 3000 RSLC System,Thermo Dionex Ultimate 3000 RS,Liquid chromatography instrument
MS_1003689,Dionex UltiMate 3000 RSLCnano,Thermo Scientific Dionex UltiMate 3000 RSLCnano System,MTBLS_000860,Thermo Scientific Dionex UltiMate 3000 RSLCnano System,,Liquid chromatography instrument
MS_1003690,Dionex UltiMate 3000,Thermo Scientific Dionex Ultimate 3000 HPLC system; Thermo Scientific Dionex UltiMate 3000 System; Thermo Scientific Dionex Ultimate 3000 UHPLC system; Thermo Scientific Dionex UltiMate HPLC system; Thermo Scientific Dionex UltiMate LC system; Thermo Scientific UltiMate 3000 Standard HPLC system,MTBLS_000883; MTBLS_000885; MTBLS_000914; MTBLS_000899; MTBLS_000888; MTBLS_002249,Thermo Scientific Dionex Ultimate 3000 HPLC system; Thermo Scientific Dionex UltiMate 3000 System; Thermo Scientific Dionex Ultimate 3000 UHPLC system; Thermo Scientific Dionex UltiMate HPLC system; Thermo Scientific Dionex UltiMate LC system; Thermo Scientific UltiMate 3000 Standard HPLC system,Thermo Dionex Ultimate 3000,Liquid chromatography instrument
MS_1003695,Vanquish Duo,Thermo Scientific Vanquish Duo UHPLC System,,,,Liquid chromatography instrument
MS_1003696,Vanquish Flex,Thermo Scientific Vanquish Flex UHPLC System,MTBLS_002252,Thermo Scientific Vanquish Flex UHPLC System,,Liquid chromatography instrument
MS_1003697,Vanquish Horizon,Thermo Scientific Vanquish Horizon UHPLC System,,,,Liquid chromatography instrument
MS_1003396,8890,Agilent 8890 GC,MTBLS_002099,Agilent 8890 GC,,Gas chromatography instrument
MS_1003732,6890N,Agilent 6890N GC,MTBLS_000918,Agilent 6890N GC,Agilent 6890N,Gas chromatography instrument
MS_1003740,6890,Agilent 6890 GC,MTBLS_000934,Agilent 6890 GC,,Gas chromatography instrument
MS_1003741,7890A,Agilent 7890A GC,MTBLS_000922,Agilent 7890A GC,Agilent 7890A,Gas chromatography instrument
MS_1003742,7890B,Agilent 7890B GC,MTBLS_000933,Agilent 7890B GC,Agilent 7890B,Gas chromatography instrument
MS_1003743,8860,Agilent 8860 GC,MTBLS_000935,Agilent 8860 GC,,Gas chromatography instrument
MS_1003744,8890B,Agilent 8890B GC,,,,Gas chromatography instrument
MS_1003746,5890 Series,Hewlett Packard 5890 Series GC,MTBLS_002153,Hewlett Packard 5890 Series GC,,Gas chromatography instrument
MS_1003747,5890 Series II,,,,,Gas chromatography instrument
MS_1003749,AutoSystem XL GC,PerkinElmer AutoSystem XL GC,MTBLS_000931,PerkinElmer AutoSystem XL GC,,Gas chromatography instrument
MS_1003751,GC-2010 Plus,Shimadzu GC-2010 Plus,MTBLS_002211,Shimadzu GC-2010 Plus,,Gas chromatography instrument
MS_1003752,GC-2010 Pro,,,,,Gas chromatography instrument
MS_1003753,GC-17A,Shimadzu GC-17A,MTBLS_000932,Shimadzu GC-17A,,Gas chromatography instrument
MS_1003754,GC-2010,Shimadzu GC-2010,MTBLS_000927,Shimadzu GC-2010,Shimadzu GC-2010,Gas chromatography instrument
MS_1003756,TRACE 1300,Thermo Scientific TRACE 1300 GC,MTBLS_002244,Thermo Scientific TRACE 1300 GC,,Gas chromatography instrument
MS_1003757,TRACE 1310,Thermo Scientific TRACE 1310 GC,MTBLS_000930,Thermo Scientific TRACE 1310 GC,Thermo Trace 1310,Gas chromatography instrument
MS_1003758,TRACE GC,Thermo Electron TRACE GC,MTBLS_000919,Thermo Electron TRACE GC,,Gas chromatography instrument
MS_1003759,TRACE GC Ultra,Thermo Electron TRACE GC Ultra; Thermo Scientific TRACE GC Ultra,MTBLS_000924; MTBLS_000921,Thermo Scientific TRACE GC Ultra; Thermo Electron TRACE GC Ultra,,Gas chromatography instrument
MS_1003760,FOCUS GC,Thermo Electron FOCUS GC,MTBLS_000929,Thermo Electron FOCUS GC,,Gas chromatography instrument
